ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0CTJ4M4VS","Alani Energy Drink Assorted Variety Pack 12 Fl Oz Cans (12 Pack)","Generic","Grocery & Gourmet Food","$42,706.55","1,069","$39.95","$14.52","$25.43","7,721","1","5","1","02/07/2024","YSSG Deals","5","12.28"" x 8.23"" x 7.28""","Large standard-size","10.16 lbs"
"B0CTMHFPJ5","Alcohol Markers  168 Colors Art Drawing Markers Set for Kids Adults Dual Tip Permanent Sketch Markers  with Organizing Case","AMUIZC","Arts, Crafts & Sewing","$85,482.90","1,710","$49.99","$14.83","$35.16","N.A.","33","7","1","04/02/2023","Amuizc","4.3","13.03"" x 7.83"" x 6.93""","Large standard-size","6.25 lbs"
"B0CLNDBH71","Aleumdr Women's Ribbed One Piece Tummy Control Swimsuit Cheeky Tie Side High Cut Bathing Suit Swimwear","Aleumdr","Clothing, Shoes & Jewelry","$73,965.04","2,858","$25.88","$8.62","$17.26","N.A.","48","6","2","10/23/2023","Aleumdr","4.4","8.46"" x 3.90"" x 3.58""","Large standard-size","3.53 lbs"
"B08FBVGL5K","Aleumdr Womens Long Sleeve Color Block Sweater Casual Crewneck Pullover Fall Winter Knit Jumper Tops","Aleumdr","Clothing, Shoes & Jewelry","$32,959.50","1,290","$25.55","$4.34","$21.21","12,178","11","6","1","08/05/2020","Aleumdr Clothing","4.7","0.60"" x 9.30"" x 10.00""","Standard (Small)","0.7496 lbs"
"B07J5N2327","Alex Vando Womens Dress Shirts Regular Fit Long Sleeve Stretch Work Shirt","Alex Vando","Sports & Outdoors","$140,698.80","6,120","$22.99","$7.22","$15.77","8,110","4","6","1","10/08/2018","ALEX VANDO","4.2","1.57"" x 10.08"" x 14.41""","Large standard-size","0.4409 lbs"
"B08LQWT5TG","Alexander Del Rossa ChildrenÕs One-Piece Footed Pajamas","Alexander Del Rossa","Clothing, Shoes & Jewelry","$27,890.70","930","$29.99","$5.10","$24.89","206,036","22.666666666666668","5","1","03/23/2020","Alexander Del Rossa","4.533333333333333","2.32"" x 9.92"" x 11.54""","Standard (Large)","0.5556 lbs"
"B083589R7S","Alexander Del Rossa Women's Luxury Sherpa Fleece Coat  Winter Jacket","Alexander Del Rossa","Clothing, Shoes & Jewelry","$118,770.30","2,970","$39.99","$6.80","$33.19","10,519","36","5","1","12/25/2019","Alexander Del Rossa","3.8","16.00"" x 13.00"" x 6.00""","Standard (Large)","3.5 lbs"
"B0CTX4CSVB","Alicegana Loafers for Women Shoes Casual: Slip on Flat Shoes Ladies Comfortable Dressy Moccasins Driving Penny Loafers","Alicegana","Clothing, Shoes & Jewelry","$19,302.40","754","$25.60","$7.61","$17.99","N.A.","37","7","1","08/19/2019","Amazon Warehouse","3.9","10.63"" x 3.94"" x 3.15""","Large standard-size","10.58 lbs"
"B0BPMD7F6R","Alicegana Womens Sneakers Tennis Shoes: Running Athletic Walking Casual Shoe Fashion Lightweight Sneakers for Women Darkblue","Alicegana","Clothing, Shoes & Jewelry","$44,730.40","1,564","$28.60","$8.06","$20.54","3,473,475","2","6","1","12/08/2022","Amazon","5","10.24"" x 10.04"" x 3.62""","Large standard-size","10.23 lbs"
"B0CGLSTX31","Aliceset 4 Pcs Christmas Wreath Storage Bags Garland Holiday Wreath Storage Containers with Clear Window and Handle Zippers for Xmas Holiday Seasonal Storage Wrapping(Red  36 x 36 x 7.8 Inch)","Aliceset","Home & Kitchen","$58,681.35","1,365","$42.99","$13.18","$29.81","8,549","13","7","1","08/24/2023","N.A.","4.4","12.20"" x 11.42"" x 4.09""","Large standard-size","2.86 lbs"
